CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,HasTechSupport,InternetService,Churn
1,56,F,52,48.12,2488.57,Two year,Electronic Check,0,Fiber optic,0
2,69,F,12,118.57,1455.01,Month-to-month,Bank Transfer,1,DSL,1
3,46,M,48,26.42,1314.77,Two year,Bank Transfer,0,None,0
4,32,M,22,80.79,1750.08,One year,Bank Transfer,0,Fiber optic,1
5,60,M,49,67.95,3286.96,Month-to-month,Electronic Check,1,Fiber optic,1
6,25,M,52,44.55,2309.26,One year,Electronic Check,1,Fiber optic,0
7,78,M,1,36.36,74.5,Month-to-month,Bank Transfer,0,Fiber optic,1
8,38,F,66,93.71,6149.89,Two year,Credit Card,1,DSL,0
9,56,M,64,111.63,7182.9,Month-to-month,Credit Card,0,Fiber optic,1
10,75,M,8,30.75,295.22,Month-to-month,Electronic Check,0,Fiber optic,1
11,36,M,25,39.4,940.4,Month-to-month,Bank Transfer,0,Fiber optic,1
12,40,M,66,118.63,7829.11,Month-to-month,Electronic Check,0,DSL,1
13,28,M,70,21.5,1487.89,Month-to-month,Electronic Check,0,DSL,1
14,28,F,51,70.83,3601.7,Month-to-month,Bank Transfer,0,Fiber optic,1
15,41,M,53,71.61,3790.49,Month-to-month,Electronic Check,1,Fiber optic,1
16,70,M,15,46.32,718.77,Month-to-month,Credit Card,0,DSL,1
17,53,M,50,86.3,4324.13,Month-to-month,Credit Card,0,Fiber optic,1
18,57,F,71,114.49,8174.91,One year,Bank Transfer,1,Fiber optic,1
19,41,F,38,65.02,2454.04,Month-to-month,Electronic Check,0,DSL,1
20,20,M,40,94.94,3801.75,Month-to-month,Credit Card,0,Fiber optic,1
21,39,M,66,84.61,5615.59,One year,Bank Transfer,1,Fiber optic,0
22,70,F,39,67.29,2611.61,Month-to-month,Bank Transfer,0,Fiber optic,1
23,19,F,17,24.98,421.19,Month-to-month,Bank Transfer,0,Fiber optic,1
24,41,F,7,94.17,677.69,Month-to-month,Electronic Check,1,None,1
25,61,M,39,56.33,2232.94,Two year,Bank Transfer,0,Fiber optic,0
26,47,M,68,42.45,2878.17,One year,Electronic Check,0,Fiber optic,0
27,55,F,35,114.83,4022.25,Month-to-month,Bank Transfer,0,Fiber optic,1
