customer_id,age,gender,country,signup_date,last_purchase_date,num_orders,total_spent,avg_order_value,recency_days,is_premium_member,device_type,preferred_category,churned
10001,56.0,Male,India,2022-01-27,2024-04-27,10,13273.25,1327.32,522,0,,Home,0
10002,69.0,Other,UK,2025-01-12,2025-08-01,10,,308.9,61,0,Mobile,Grocery,0
10003,46.0,Female,USA,2021-04-25,2021-06-01,5,3411.83,682.37,1583,0,,,0
10004,32.0,Male,India,2021-02-23,2023-09-22,5,4502.0,900.4,740,0,,,0
10005,60.0,Female,India,2021-06-07,2021-12-11,7,3842.1,548.87,1390,0,Tablet,Books,0
10006,25.0,Female,,2021-12-04,2024-11-18,5,5741.74,1148.35,317,1,Desktop,Sports,0
10007,38.0,Female,India,2024-01-04,2024-01-23,2,0.0,0.0,617,0,Mobile,Fashion,1
10008,56.0,Male,Australia,2022-06-29,2023-03-28,3,5651.3,1883.77,918,0,Desktop,Fashion,0
10009,36.0,Male,India,2020-11-20,2024-01-06,10,21143.18,2114.32,634,0,Mobile,Electronics,0
10010,40.0,Female,India,2024-06-30,2024-09-08,7,14698.44,2099.78,388,0,Desktop,Home,0
10011,,Female,India,2023-01-07,2024-06-05,4,2627.48,656.87,483,0,Mobile,Grocery,0
10012,,Female,Germany,2022-03-08,2025-08-03,6,11266.42,1877.74,59,0,Mobile,Books,0
10013,41.0,Male,Australia,2023-11-02,2025-04-10,9,5920.03,657.78,174,0,Mobile,Books,0
10014,53.0,Female,Germany,2024-12-04,2024-12-06,4,,719.6,299,1,Desktop,Electronics,0
10015,57.0,Female,UK,2021-06-30,2022-05-31,9,4969.91,552.21,1219,0,Mobile,Books,0
10016,41.0,Male,India,2021-05-12,2023-04-09,9,12739.01,1415.45,906,0,Mobile,Home,0
10017,,Male,India,2022-05-09,2025-04-21,10,16042.63,1604.26,163,0,Mobile,Electronics,0
10018,39.0,Female,Australia,2022-09-02,2024-01-14,8,6549.74,818.72,626,0,Mobile,Home,0
10019,19.0,Female,Germany,2024-03-27,2025-09-13,5,0.0,0.0,18,1,Mobile,Electronics,0
10020,41.0,Male,USA,2024-12-18,2025-05-28,6,10555.9,1759.32,126,1,Mobile,Books,0
10021,61.0,Male,Germany,2022-06-29,2024-02-12,4,8870.55,2217.64,597,0,Mobile,Electronics,0
10022,47.0,Male,UK,2024-01-20,2024-06-26,4,0.0,0.0,462,1,Mobile,Fashion,0
10023,55.0,Male,USA,2022-12-31,2023-07-06,10,90530.16,9053.02,818,1,Mobile,Grocery,0
10024,19.0,Female,Australia,2025-08-27,2025-09-14,4,5284.79,1321.2,17,1,Mobile,Books,0
10025,38.0,Female,Canada,2023-09-19,2024-08-02,4,5780.18,1445.04,425,0,Mobile,Sports,0
10026,50.0,,USA,2020-12-02,2021-06-30,7,2724.97,389.28,1554,0,Tablet,Grocery,0
10027,29.0,Female,UK,2024-10-14,2025-03-14,3,9162.84,3054.28,201,0,Mobile,Books,0
10028,39.0,Female,,2021-02-05,2024-03-13,8,,832.31,567,1,Desktop,Grocery,0
10029,61.0,Female,USA,2025-07-21,2025-08-19,8,,1252.71,43,0,Desktop,,0
10030,42.0,Female,India,2023-12-24,2024-11-01,7,3893.57,556.22,334,0,Mobile,Grocery,0
10031,66.0,Male,USA,2021-12-25,2024-09-17,5,6972.29,1394.46,379,0,Mobile,Electronics,0
10032,44.0,Male,Australia,2022-10-04,2025-04-17,4,0.0,0.0,167,0,Desktop,Grocery,0
10033,59.0,Female,USA,2024-08-03,2025-07-24,0,0.0,0.0,69,0,Mobile,Books,0
10034,45.0,Female,India,2023-01-07,2024-12-10,4,8054.74,2013.68,295,1,Mobile,Sports,0
10035,33.0,Male,India,2023-10-25,2023-11-12,2,1591.56,795.78,689,0,Mobile,Sports,1
10036,32.0,Female,India,2020-10-23,2021-12-28,4,1169.01,292.25,1373,1,Mobile,Home,0
10037,64.0,,UK,2024-03-20,2025-03-04,8,9283.42,1160.43,211,0,Desktop,Grocery,0
10038,68.0,Male,India,2023-06-27,2023-12-26,5,7647.95,1529.59,645,0,Mobile,Sports,0
10039,61.0,Female,India,2021-03-11,2021-07-01,8,8058.99,1007.37,1553,0,Mobile,Grocery,0
10040,69.0,Other,India,2023-02-19,2023-08-20,6,7301.4,1216.9,773,0,Mobile,Sports,0
10041,20.0,Other,Germany,2024-05-03,2025-08-26,4,8144.12,2036.03,36,0,Mobile,Grocery,0
10042,54.0,Male,UK,2024-07-31,2024-12-23,9,6909.37,767.71,282,0,Mobile,Books,0
10043,68.0,Female,India,2021-06-22,2023-09-30,6,68591.39,11431.9,732,0,Mobile,Grocery,0
10044,24.0,Female,India,2025-04-25,2025-08-18,6,15568.16,2594.69,44,1,Desktop,Books,0
10045,38.0,Female,India,2025-05-06,2025-08-26,4,1536.72,384.18,36,0,Mobile,Books,0
10046,26.0,Other,USA,2023-08-18,2025-09-18,2,0.0,0.0,13,0,Desktop,Home,0
10047,56.0,Female,USA,2022-04-27,2023-08-15,6,5547.64,924.61,778,0,Mobile,Sports,0
10048,35.0,Female,India,2020-12-31,2023-02-01,9,16915.07,1879.45,973,0,Mobile,Electronics,0
10049,21.0,Female,USA,2021-05-30,2025-01-15,3,5016.17,1672.06,259,0,Mobile,Books,0
10050,42.0,Female,India,2025-07-27,2025-09-21,2,3463.82,1731.91,10,0,Mobile,Sports,0
10051,31.0,Male,Canada,2022-12-23,2023-04-19,4,4996.53,1249.13,896,0,Mobile,Fashion,0
10052,67.0,,India,2024-09-16,2025-07-13,7,7548.23,1078.32,80,0,Mobile,Grocery,0
10053,26.0,Male,India,2025-08-05,2025-09-06,4,1987.46,496.86,25,0,,Fashion,0
10054,43.0,Female,India,2022-03-29,2023-05-03,4,6649.49,1662.37,882,1,Desktop,Grocery,0
10055,19.0,Male,USA,2024-10-25,2025-05-10,8,6640.24,830.03,144,0,Mobile,Home,0
10056,37.0,Female,Germany,2022-08-05,2024-05-25,5,6214.05,1242.81,494,0,Mobile,Books,0
10057,45.0,Male,India,2023-10-06,2023-11-21,8,12047.97,1506.0,680,1,Mobile,Electronics,0
10058,64.0,Female,USA,2022-06-24,2023-07-27,4,,0.0,797,0,Mobile,,0
10059,24.0,Female,UK,2023-08-24,2025-08-02,6,5436.74,906.12,60,0,Mobile,Grocery,0
10060,61.0,Female,India,2024-01-27,2025-08-07,6,6839.7,1139.95,55,0,Mobile,Electronics,0
10061,25.0,Male,India,2022-05-18,2022-08-03,3,5803.2,1934.4,1155,0,Desktop,Books,0
10062,64.0,Female,Canada,2024-10-13,2025-02-13,7,1275.39,182.2,230,0,Desktop,Electronics,0
10063,52.0,Female,,2021-08-29,2021-11-11,8,13380.73,1672.59,1420,0,Mobile,Grocery,0
10064,31.0,,India,2020-10-06,2021-02-19,11,13618.83,1238.08,1685,1,Mobile,Home,0
10065,34.0,Female,Australia,2025-06-08,2025-09-05,8,13989.35,1748.67,26,1,Mobile,Home,0
10066,53.0,Female,India,2022-03-24,2024-07-07,3,1541.66,513.89,451,0,Desktop,Books,0
10067,67.0,Male,,2023-12-10,2025-04-27,6,5988.35,998.06,157,0,Mobile,Fashion,0
10068,57.0,Female,India,2021-09-27,2023-02-08,3,6513.52,2171.17,966,0,Mobile,Grocery,0
10069,,Male,Australia,2021-06-13,2021-10-28,6,5685.76,947.63,1434,0,Desktop,Books,0
10070,19.0,Male,India,2024-07-06,2024-08-24,9,18550.45,2061.16,403,0,Mobile,,0
10071,23.0,Male,India,2021-08-23,2024-04-21,5,7905.71,1581.14,528,0,Mobile,Home,0
10072,59.0,Male,India,2024-12-19,2025-04-04,2,4273.57,2136.78,180,0,,,0
10073,21.0,Male,India,2022-02-13,2022-10-24,8,14987.4,1873.42,1073,0,Mobile,Grocery,0
10074,46.0,Female,India,2022-12-20,2024-09-09,9,10581.94,1175.77,387,1,Mobile,Electronics,0
10075,35.0,Female,India,2024-11-25,2025-06-10,5,8515.38,1703.08,113,0,Mobile,Sports,0
10076,43.0,Female,USA,2025-03-08,2025-05-27,7,5893.1,841.87,127,1,Mobile,Sports,0
10077,61.0,Female,India,2024-01-23,2025-08-07,7,,529.53,55,1,Mobile,Grocery,0
10078,51.0,Female,India,2024-07-13,2025-03-14,2,5349.8,2674.9,201,0,Desktop,Fashion,1
10079,27.0,Female,India,2023-12-02,2025-01-30,5,7128.38,1425.68,244,1,Mobile,Sports,0
